loan_amnt,int_rate,term_in_months,grade,job_title,home_ownership,annual_inc,loan_status,purpose,did_default
30000,0.2235,36,D,Supervisor,MORTGAGE,100000.0,Fully Paid,debt_consolidation,False
20000,0.0756,36,A,Teacher,MORTGAGE,100000.0,Fully Paid,credit_card,False
2500,0.1356,36,C,Manager,RENT,42000.0,Fully Paid,other,False
12950,0.0756,36,A,Teacher,MORTGAGE,55000.0,Fully Paid,debt_consolidation,False
5000,0.1033,36,B,Police Officer,MORTGAGE,118964.0,Fully Paid,credit_card,False
3000,0.1992,36,D,Teacher,RENT,62000.0,Fully Paid,debt_consolidation,False
6000,0.1614,36,C,Truck Driver,RENT,50000.0,Fully Paid,credit_card,False
4500,0.1072,36,B,Teacher,RENT,55000.0,Fully Paid,debt_consolidation,False
20000,0.0819,36,A,Project Manager,RENT,105000.0,Fully Paid,credit_card,False
6000,0.1502,36,C,Teacher,MORTGAGE,101000.0,Fully Paid,vacation,False
40000,0.1614,60,C,Driver,RENT,60500.0,Fully Paid,small_business,False
29000,0.0819,36,A,Manager,MORTGAGE,59000.0,Fully Paid,credit_card,False
13525,0.1502,36,C,Manager,RENT,144000.0,Fully Paid,debt_consolidation,False
16000,0.1447,36,C,Supervisor,MORTGAGE,65000.0,Fully Paid,credit_card,False
15000,0.1072,60,B,Project Manager,MORTGAGE,48000.0,Fully Paid,debt_consolidation,False
26000,0.118,60,B,Nurse,MORTGAGE,77000.0,Fully Paid,debt_consolidation,False
5000,0.1356,36,C,Teacher,RENT,55000.0,Fully Paid,credit_card,False
6000,0.1992,36,D,Teacher,OWN,108000.0,Fully Paid,debt_consolidation,False
16000,0.1691,60,C,Operations Manager,RENT,50000.0,Fully Paid,debt_consolidation,False
24000,0.2727,60,E,Teacher,RENT,50000.0,Fully Paid,debt_consolidation,False
1000,0.0646,36,A,Program Manager,RENT,90000.0,Fully Paid,other,False
23000,0.118,60,B,Executive Assistant,MORTGAGE,66000.0,Fully Paid,debt_consolidation,False
15000,0.1894,36,D,Sales,MORTGAGE,90000.0,Fully Paid,debt_consolidation,False
4500,0.118,36,B,Supervisor,RENT,32000.0,Fully Paid,credit_card,False
1000,0.118,36,B,Manager,RENT,48000.0,Fully Paid,other,False
40000,0.1072,36,B,Project Manager,RENT,95000.0,Fully Paid,debt_consolidation,False
7500,0.1072,36,B,Nurse,MORTGAGE,120000.0,Fully Paid,medical,False
18000,0.1131,36,B,Vice President,RENT,160000.0,Fully Paid,credit_card,False
5000,0.0646,36,A,Program Manager,RENT,180000.0,Fully Paid,credit_card,False
30000,0.1614,60,C,Sales Manager,RENT,56404.0,Fully Paid,other,False
40000,0.0881,36,A,Software Engineer,RENT,80000.0,Fully Paid,debt_consolidation,False
16800,0.2727,60,E,Project Manager,MORTGAGE,72999.0,Fully Paid,debt_consolidation,False
6000,0.1894,36,D,Controller,RENT,71200.0,Fully Paid,debt_consolidation,False
1000,0.2534,36,E,Assistant Manager,RENT,40000.0,Fully Paid,debt_consolidation,False
35000,0.1614,36,C,Account Manager,RENT,105000.0,Fully Paid,debt_consolidation,False
10000,0.1131,36,B,Teacher,OWN,98000.0,Fully Paid,medical,False
12000,0.1797,36,D,Driver,MORTGAGE,62400.0,Fully Paid,other,False
1000,0.3084,36,G,Manager,MORTGAGE,35000.0,Fully Paid,house,False
25000,0.1072,60,B,Sales Manager,MORTGAGE,98000.0,Fully Paid,debt_consolidation,False
35500,0.118,60,B,General Manager,MORTGAGE,80000.0,Fully Paid,credit_card,False
20000,0.1356,36,C,President,MORTGAGE,183000.0,Fully Paid,debt_consolidation,False
2000,0.1614,36,C,Truck Driver,MORTGAGE,70000.0,Fully Paid,debt_consolidation,False
8800,0.1502,36,C,Controller,MORTGAGE,135000.0,Fully Paid,debt_consolidation,False
8000,0.0881,36,A,Driver,MORTGAGE,90000.0,Fully Paid,debt_consolidation,False
4800,0.1131,36,B,Paralegal,MORTGAGE,55000.0,Fully Paid,debt_consolidation,False
12000,0.118,36,B,Project Manager,RENT,155000.0,Fully Paid,other,False
27000,0.1356,60,C,Driver,MORTGAGE,98000.0,Fully Paid,debt_consolidation,False
16000,0.2089,60,D,Manager,RENT,53000.0,Fully Paid,debt_consolidation,False
2000,0.1298,36,B,Administrator,OWN,36000.0,Fully Paid,major_purchase,False
10000,0.1691,36,C,Truck Driver,MORTGAGE,85000.0,Fully Paid,credit_card,False
3000,0.1033,36,B,Sales,RENT,25000.0,Fully Paid,major_purchase,False
10000,0.1356,60,C,Director,RENT,75000.0,Fully Paid,credit_card,False
15000,0.2089,36,D,Teacher,MORTGAGE,55000.0,Fully Paid,debt_consolidation,False
30000,0.1033,60,B,Sales Manager,MORTGAGE,210000.0,Fully Paid,vacation,False
8000,0.1614,36,C,Sales Manager,MORTGAGE,84000.0,Fully Paid,debt_consolidation,False
5500,0.1072,36,B,Branch Manager,MORTGAGE,72000.0,Fully Paid,debt_consolidation,False
11000,0.0702,36,A,Mechanic,MORTGAGE,47000.0,Fully Paid,credit_card,False
